idindikator;IDTer;nTer;IDTuristi;nTuristi;IDVrPod;nVrPod;mes;god;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
2201IND01;RS216;Расинска област;1;Домаћи;1;број;00;2000;59930;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS216;Расинска област;1;Домаћи;2;индекси (2010 = 100);00;2000;145.2;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS216;Расинска област;2;Страни;1;број;00;2000;1665;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS216;Расинска област;2;Страни;2;индекси (2010 = 100);00;2000;21.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;0;Укупно;1;број;00;2000;198794;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;0;Укупно;2;индекси (2010 = 100);00;2000;78.9;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;1;Домаћи;1;број;00;2000;190972;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;1;Домаћи;2;индекси (2010 = 100);00;2000;84.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;2;Страни;1;број;00;2000;7822;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS217;Рашка област;2;Страни;2;индекси (2010 = 100);00;2000;30;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;0;Укупно;1;број;00;2000;50318;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;0;Укупно;2;индекси (2010 = 100);00;2000;138.7;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;1;Домаћи;1;број;00;2000;46615;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;1;Домаћи;2;индекси (2010 = 100);00;2000;194.6;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;2;Страни;1;број;00;2000;3703;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS218;Шумадијска област;2;Страни;2;индекси (2010 = 100);00;2000;30;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
2201IND01;RS22;Регион Јужне и Источне Србије;0;Укупно;1;број;00;2000;380292;;;РЗС;Доласци туриста - годишњи подаци;A;Коначан податак
